Dates,SX5E Index,DAX Index,UKX Index,SMI Index,SPX Index,CCMP Index,NDX Index,NKY Index,HSI Index,MXEF Index,MXWO Index,MXWD Index,USDR1T Curncy,EUDR1T Curncy,SFDR1T Curncy,BPDR1T Curncy,JYDR1T Curncy,SPI Index,NDUEAWXZ Index,VICASCI SW Equity,VICAAI1 SW Equity,STXAAIGV Index,CSRPAIS Index,SX5T Index,TUKXG Index,SMIC Index,SPXT Index,NDUEEGF Index,NDDUWI Index
1988-09-06,764.79,1179.76,1768.0,1473.7,265.59,377.33,171.94,27320.51,2502.09,127.89,433.12,106.36,,,,,,883.73,,,,,,702.52,502.69,,272.37,,718.253
1988-09-07,767.95,1185.74,1756.1,1471.9,265.87,377.96,172.09,27504.01,2525.14,128.25,436.55,107.2,,,,,,884.44,,,,,,705.42,499.4,,272.66,,718.253
1988-09-08,773.44,1185.35,1739.8,1462.9,265.88,379.73,172.97,27740.11,2508.53,129.6,437.0,107.33,,,,,,881.53,,,,,,710.47,494.67,,272.69,,718.253
1988-09-09,768.47,1186.61,1738.4,1452.7,266.84,381.6,175.48,27647.1,2496.56,129.81,437.52,107.46,,,,,,876.22,,,,,,705.91,494.26,,273.78,,718.253
1988-09-10,768.47,1186.61,1738.4,1452.7,266.84,381.6,175.48,27647.1,2496.56,129.81,437.52,107.46,,,,,,876.22,,,,,,705.91,494.26,,273.78,,718.253
1988-09-11,768.47,1186.61,1738.4,1452.7,266.84,381.6,175.48,27647.1,2496.56,129.81,437.52,107.46,,,,,,876.22,,,,,,705.91,494.26,,273.78,,718.253
1988-09-12,776.16,1207.18,1744.6,1455.4,266.47,382.07,175.59,27756.74,2468.94,129.53,437.82,107.52,,,,,,877.67,,,,,,712.97,496.09,,273.41,,718.253
1988-09-13,779.82,1206.72,1756.3,1465.1,267.43,382.38,175.87,27794.16,2473.59,129.15,440.46,108.17,,,,,,879.83,,,,,,716.33,499.38,,274.42,,718.253
1988-09-14,789.7,1224.71,1765.1,1476.7,269.31,383.85,176.98,27805.67,2481.57,130.73,439.68,108.0,,,,,,885.61,,,,,,725.4,501.76,,276.36,,718.253
1988-09-15,794.24,1228.11,1769.3,1489.0,268.13,382.7,175.41,27805.67,2474.08,130.86,440.14,108.12,,,,,,890.27,,,,,,729.58,503.08,,275.16,,718.253
1988-09-16,793.88,1235.05,1766.7,1486.5,270.65,383.91,176.65,27866.38,2458.82,131.45,441.56,108.47,,,,,,888.05,,,,,,729.24,502.43,,277.76,,718.253
1988-09-17,793.88,1235.05,1766.7,1486.5,270.65,383.91,176.65,27866.38,2458.82,131.45,441.56,108.47,,,,,,888.05,,,,,,729.24,502.43,,277.76,,718.253
1988-09-18,793.88,1235.05,1766.7,1486.5,270.65,383.91,176.65,27866.38,2458.82,131.45,441.56,108.47,,,,,,888.05,,,,,,729.24,502.43,,277.76,,718.253
1988-09-19,798.4,1252.66,1759.9,1506.0,268.82,383.44,176.11,27901.0,2447.58,132.0,441.66,108.5,,,,,,895.85,,,,,,735.42,502.37,,275.89,,718.253
1988-09-20,797.96,1245.98,1772.1,1496.2,269.73,384.1,176.81,27548.58,2423.23,132.87,439.81,108.05,,,,,,892.05,,,,,,735.02,505.9,,276.93,,718.253
1988-09-21,803.58,1260.99,1796.8,1521.3,270.16,384.91,177.81,27712.66,2432.0,133.07,440.36,108.19,,,,,,901.76,,,,,,740.19,512.86,,277.43,,718.253
1988-09-22,805.49,1253.7,1788.7,1533.4,269.18,384.86,178.28,27428.31,2455.84,133.08,438.37,107.69,,,,,,905.95,,,,,,741.95,510.64,,276.42,,718.253
1988-09-23,802.23,1252.58,1792.4,1533.7,269.76,384.97,177.47,27428.31,2454.38,133.65,438.64,107.76,,,,,,904.56,,,,,,738.95,511.75,,277.01,,718.253
1988-09-24,802.23,1252.58,1792.4,1533.7,269.76,384.97,177.47,27428.31,2454.38,133.65,438.64,107.76,,,,,,904.56,,,,,,738.95,511.75,,277.01,,718.253
1988-09-25,802.23,1252.58,1792.4,1533.7,269.76,384.97,177.47,27428.31,2454.38,133.65,438.64,107.76,,,,,,904.56,,,,,,738.95,511.75,,277.01,,718.253
1988-09-26,805.86,1257.03,1792.7,1547.8,268.88,382.75,175.87,27333.75,2454.38,134.17,436.52,107.26,,,,,,910.73,,,,,,742.3,511.74,,276.32,,718.253
1988-09-27,802.73,1248.36,1808.0,1540.9,268.26,382.22,175.8,27499.56,2466.27,134.38,439.15,107.9,,,,,,909.08,,,,,,739.41,516.11,,275.7,,718.253
1988-09-28,801.46,1239.16,1812.5,1536.3,269.08,383.28,177.06,27752.01,2449.75,133.21,441.8,108.55,,,,,,906.15,,,,,,738.24,517.31,,276.55,,718.253
1988-09-29,807.99,1248.71,1829.0,1540.9,272.59,386.05,178.82,27700.13,2439.39,133.17,444.58,109.23,,,,,,909.43,,,,,,744.25,522.31,,280.18,,718.253
1988-09-30,809.03,1252.69,1826.5,1543.4,271.91,387.71,179.37,27923.67,2441.05,133.74,446.17,109.62,,,,,,910.85,,,,,,745.21,521.38,,279.49,,748.52
1988-10-01,809.03,1252.69,1826.5,1543.4,271.91,387.71,179.37,27923.67,2441.05,133.74,446.17,109.62,,,,,,910.85,,,,,,745.21,521.38,,279.49,,748.52
1988-10-02,809.03,1252.69,1826.5,1543.4,271.91,387.71,179.37,27923.67,2441.05,133.74,446.17,109.62,,,,,,910.85,,,,,,745.21,521.38,,279.49,,748.52
1988-10-03,809.23,1242.44,1802.6,1538.0,271.38,384.48,176.79,27545.53,2429.07,134.21,445.04,109.33,,,,,,909.09,,,,,,745.39,514.87,,279.09,,748.52
1988-10-04,812.2,1245.58,1807.3,1533.2,270.62,384.2,176.29,27501.02,2415.76,134.7,446.01,109.57,,,,,,907.83,,,,,,748.13,516.04,,278.35,,748.52
1988-10-05,814.6,1252.31,1826.3,1538.0,271.86,384.52,175.86,27405.49,2417.42,133.34,445.21,109.37,,,,,,910.59,,,,,,750.34,521.73,,279.62,,748.52
1988-10-06,816.7,1261.63,1839.0,1542.8,272.39,385.15,176.24,27172.34,2427.04,132.23,443.89,109.02,,,,,,916.01,,,,,,752.56,525.28,,280.17,,748.52
1988-10-07,818.72,1269.36,1844.7,1555.0,278.07,385.67,176.0,27258.27,2478.87,132.75,448.63,110.18,,,,,,922.19,,,,,,754.49,526.91,,286.04,,748.52
1988-10-08,818.72,1269.36,1844.7,1555.0,278.07,385.67,176.0,27258.27,2478.87,132.75,448.63,110.18,,,,,,922.19,,,,,,754.49,526.91,,286.04,,748.52
1988-10-09,818.72,1269.36,1844.7,1555.0,278.07,385.67,176.0,27258.27,2478.87,132.75,448.63,110.18,,,,,,922.19,,,,,,754.49,526.91,,286.04,,748.52
1988-10-10,823.99,1286.93,1844.1,1568.5,278.24,385.49,174.94,27258.27,2566.42,133.52,451.23,110.82,,,,,,928.9,,,,,,759.34,526.51,,286.21,,748.52
1988-10-11,817.84,1271.31,1838.3,1562.6,277.93,385.28,175.63,27469.6,2571.61,132.99,454.3,111.57,,,,,,927.65,,,,,,753.68,525.03,,285.9,,748.52
1988-10-12,812.66,1257.94,1814.4,1552.8,273.98,382.55,173.29,27409.37,2551.86,132.89,454.59,111.63,,,,,,923.37,,,,,,748.9,518.21,,281.84,,748.52
1988-10-13,819.84,1269.8,1830.7,1551.7,275.22,383.46,174.84,27273.3,2561.76,130.78,458.5,112.57,,,,,,921.29,,,,,,755.52,522.88,,283.12,,748.52
